,,Name,Address,Lat,Lng
"London,UK",0,Hyde Park,Serpentine Rd,51.50778087767913,-0.16239166259765625
"London,UK",1,Regent's Park,Chester Rd,51.53047945949403,-0.15376567840576172
"London,UK",2,St James's Park,The Mall,51.50325316049429,-0.1329946517944336
"London,UK",3,Holland Park,Ilchester Pl,51.503147775328806,-0.20415301522007212
"London,UK",4,Greenwich Park,Maze Hill,51.47752077622347,0.000858306884765625
"London,UK",5,Victoria Park,Grove Rd,51.53849910020006,-0.035289931402076036
"London,UK",6,Battersea Park,Albert Bridge Rd,51.479512013817555,-0.1569843292236328
"London,UK",7,Hampstead Heath,E Heath Rd,51.56443609469711,-0.1673625476541929
"London,UK",8,Green Park,Piccadilly,51.50465559886703,-0.14378786087036133
"London,UK",9,Kensington Gardens,Kensington Rd,51.506765853364506,-0.18037319183349607
"London,UK",10,Primrose Hill,Primrose Hill Rd,51.539262109281196,-0.1619410514831543
"London,UK",11,Brockwell Park,Dulwich Rd,51.45093143256645,-0.10606527328491211
"London,UK",12,Golders Hill Park,West Heath Ave,51.56710031257711,-0.18926138815004379
"London,UK",13,Queen's Park,Kingswood Ave,51.53512844579126,-0.20893083834584286
"London,UK",14,Queen Elizabeth Olympic Park,Montfitchet Rd,51.54029568820492,-0.012937556867140765
"London,UK",15,Dulwich Park,College Rd,51.444699612581914,-0.07553100585937499
"London,UK",16,Wandsworth Park,Putney Bridge Rd,51.46232303318784,-0.20406246185302734
"London,UK",17,Ravenscourt Park,16 Ravenscourt Ave,51.49746143412524,-0.23899254767457023
"London,UK",18,Finsbury Park,Endymion Rd,51.57032146844705,-0.10093688964843749
"London,UK",19,Vauxhall Park,Fentiman Rd,51.48273255637877,-0.12217998504638672
"London,UK",20,Hilly Fields,Adelaide Ave,51.46001017998527,-0.025599002838134766
"London,UK",21,Springfield Park,Springfield,51.570921633725625,-0.059545040130615234
"London,UK",22,Lincoln's Inn Fields,Lincoln's Inn Fields,51.51611390655047,-0.11655807495117188
"London,UK",23,Clapham Common,Windmill Dr,51.45744611823275,-0.1505869411630556
"London,UK",24,Wandsworth Common,Bellevue Rd,51.448350545927426,-0.16784191131591794
"London,UK",25,Wimbledon Common,Windmill Rd,51.43399922569388,-0.23260116577148438
"London,UK",26,Highbury Fields,Highbury Pl,51.54974968261988,-0.1024384971242398
"London,UK",27,Grosvenor Square,Grosvenor Sq,51.51146682844729,-0.15144824981689453
"London,UK",28,Victoria Embankment Gardens,Victoria Embankment,51.508135223356234,-0.12207889450158034
"London,UK",29,Kennington Park,Kennington Park Rd,51.483758135747216,-0.10849962883928813
"London,UK",30,Shoreditch Park,New North Rd,51.534550655275076,-0.08648514747619629
"London,UK",31,Soho Square,Soho Sq,51.5152860135492,-0.13220876455307007
"London,UK",32,Clissold Park,Church St,51.56143809589394,-0.08845689328154549
"London,UK",33,Richmond Park,Sawyer's Hill,51.43890499549883,-0.2747279405593872
"London,UK",34,Marble Hill Park,Richmond Rd,51.45002212127709,-0.3127455711364746
